ID,Service,Description,Charge
BF,breakfast,standart 5 star breakfast with choices,20
PRK,safe parking,safe and secured parking area with 24/7 guards,10
LDRY,laudry,fast and profestional laudry service,10
BFFT,buffet dinner,dinner buffet with different cooking style everyday,50
SNK,snacks,snacks and drinks with choices,10
WFL,wifi,free standart speed wifi,0
WFH,highspeed wifi,high speed connection for each room,10
BCH,hotel's beach,"beautiful beach with sunny white sand and blue sea, all beach services included",50
PLGR,children playground,"""fun and engaging"" playground for kids suitable for various ages",20
SPT,sport court,"included tennis court, golf yard, volley ball and badminton with profestional set-up",20
PET,pet care,health care center and play ground for pet,20
SPA,Spa,included all profestional services as a 5-star spa,50
